"Source","Scrap_Amount","Scrap_Amount_num","GGI_Amount","Emissions_Scenario"
"Primary","0%",0,2.25,"Low"
"Primary","25%",0.25,1.68,"Low"
"Primary","50%",0.5,1.12,"Low"
"Primary","75%",0.75,0.56,"Low"
"Primary","100%",1,0,"Low"
"Scrap","0%",0,0,"Low"
"Scrap","25%",0.25,0.07,"Low"
"Scrap","50%",0.5,0.13,"Low"
"Scrap","75%",0.75,0.2,"Low"
"Scrap","100%",1,0.26,"Low"
"Primary","0%",0,19.87,"High"
"Primary","25%",0.25,14.9,"High"
"Primary","50%",0.5,9.93,"High"
"Primary","75%",0.75,4.97,"High"
"Primary","100%",1,0,"High"
"Scrap","0%",0,0,"High"
"Scrap","25%",0.25,0.14,"High"
"Scrap","50%",0.5,0.28,"High"
"Scrap","75%",0.75,0.14,"High"
"Scrap","100%",1,0.56,"High"
